Disposition,OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,PersonType,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Report Type,Category
CLOSED,ARRESTED,BLACK,MALE,31.0,VICTIM,BLACK,FEMALE,22.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,31.0,VICTIM,BLACK,FEMALE,22.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,37.0,VICTIM,BLACK,MALE,30.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32.0,VICTIM,BLACK,MALE,43.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32.0,VICTIM,BLACK,MALE,46.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,68.0,VICTIM,BLACK,MALE,67.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,68.0,VICTIM,BLACK,MALE,67.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18.0,VICTIM,BLACK,FEMALE,25.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18.0,VICTIM,BLACK,FEMALE,25.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,40.0,VICTIM,BLACK,MALE,41.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24.0,VICTIM,BLACK,FEMALE,22.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,13.0,REPORTING PERSON,WHITE,MALE,48.0,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,MALE,47.0,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,23.0,VICTIM,BLACK,FEMALE,21.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,27.0,VICTIM,WHITE,FEMALE,50.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,27.0,VICTIM,WHITE,FEMALE,50.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,23.0,VICTIM,WHITE,MALE,48.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,20.0,VICTIM,BLACK,FEMALE,19.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,20.0,VICTIM,BLACK,FEMALE,19.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,37.0,VICTIM,WHITE,FEMALE,41.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43.0,VICTIM,BLACK,FEMALE,43.0,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,UNKNOWN,MALE,37.0,VICTIM,BLACK,MALE,37.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,37.0,VICTIM,BLACK,MALE,37.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,41.0,VICTIM,BLACK,FEMALE,40.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,22.0,VICTIM,BLACK,FEMALE,21.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,MALE,42.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,MALE,30.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,25.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,MALE,36.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,WHITE,FEMALE,33.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,WHITE,MALE,36.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,FEMALE,26.0,VICTIM,BLACK,FEMALE,64.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,26.0,VICTIM,BLACK,FEMALE,64.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,26.0,VICTIM,BLACK,MALE,51.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,45.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,45.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17.0,VICTIM,BLACK,MALE,27.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39.0,VICTIM,WHITE,MALE,40.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,29.0,VICTIM,BLACK,MALE,41.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24.0,VICTIM,BLACK,FEMALE,22.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,33.0,VICTIM,BLACK,MALE,32.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,33.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,21.0,VICTIM,BLACK,MALE,20.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32.0,VICTIM,BLACK,MALE,74.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,62.0,VICTIM,WHITE,FEMALE,39.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,39.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,32.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,32.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,63.0,VICTIM,WHITE,MALE,33.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,63.0,VICTIM,WHITE,MALE,33.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,63.0,VICTIM,WHITE,MALE,33.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,32.0,VICTIM,WHITE,FEMALE,51.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,32.0,VICTIM,WHITE,FEMALE,51.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,49.0,VICTIM,WHITE,FEMALE,51.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,49.0,VICTIM,WHITE,FEMALE,51.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,65.0,VICTIM,BLACK,MALE,45.0,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,65.0,VICTIM,BLACK,MALE,45.0,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,65.0,VICTIM,WHITE,MALE,20.0,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,MALE,46.0,VICTIM,WHITE,FEMALE,48.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,16.0,VICTIM,WHITE,FEMALE,26.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,WHITE,MALE,30.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,34.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,23.0,VICTIM,BLACK,FEMALE,24.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,23.0,VICTIM,BLACK,FEMALE,24.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,23.0,VICTIM,BLACK,FEMALE,43.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,36.0,VICTIM,BLACK,FEMALE,23.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36.0,VICTIM,BLACK,MALE,69.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36.0,VICTIM,BLACK,MALE,66.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36.0,VICTIM,WHITE,FEMALE,30.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,41.0,VICTIM,BLACK,FEMALE,31.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,41.0,VICTIM,BLACK,FEMALE,31.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17.0,VICTIM,BLACK,FEMALE,31.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,17.0,VICTIM,BLACK,FEMALE,31.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,17.0,VICTIM,UNKNOWN,FEMALE,38.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,25.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39.0,VICTIM,BLACK,MALE,42.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,16.0,VICTIM,WHITE,MALE,30.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,16.0,VICTIM,WHITE,MALE,30.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,29.0,VICTIM,BLACK,FEMALE,25.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,61.0,VICTIM,BLACK,MALE,33.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,32.0,VICTIM,BLACK,FEMALE,40.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,27.0,VICTIM,BLACK,FEMALE,40.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,40.0,VICTIM,BLACK,MALE,38.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,40.0,VICTIM,UNKNOWN,MALE,25.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,30.0,VICTIM,BLACK,MALE,64.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,38.0,VICTIM,WHITE,FEMALE,47.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,14.0,VICTIM,BLACK,MALE,72.0,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,13.0,VICTIM,BLACK,MALE,72.0,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,FEMALE,50.0,VICTIM,BLACK,FEMALE,46.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,28.0,VICTIM,WHITE,MALE,58.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,28.0,VICTIM,WHITE,MALE,58.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,UNKNOWN,MALE,27.0,VICTIM,UNKNOWN,MALE,25.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,25.0,VICTIM,WHITE,MALE,27.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,77.0,VICTIM,BLACK,FEMALE,44.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,52.0,VICTIM,BLACK,MALE,57.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,35.0,VICTIM,BLACK,MALE,57.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,49.0,VICTIM,BLACK,MALE,27.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,56.0,VICTIM,BLACK,MALE,32.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56.0,VICTIM,BLACK,MALE,32.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56.0,VICTIM,BLACK,MALE,32.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56.0,VICTIM,BLACK,MALE,32.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56.0,VICTIM,BLACK,MALE,32.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,26.0,VICTIM,BLACK,FEMALE,39.0,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,26.0,VICTIM,WHITE,FEMALE,24.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,26.0,VICTIM,WHITE,FEMALE,24.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,26.0,VICTIM,BLACK,FEMALE,37.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18.0,VICTIM,BLACK,FEMALE,44.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18.0,VICTIM,BLACK,FEMALE,44.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18.0,VICTIM,BLACK,FEMALE,44.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18.0,VICTIM,BLACK,FEMALE,44.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,33.0,VICTIM,BLACK,MALE,39.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17.0,VICTIM,BLACK,MALE,39.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,27.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,WHITE,MALE,57.0,VICTIM,BLACK,MALE,57.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,19.0,VICTIM,BLACK,FEMALE,19.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,57.0,VICTIM,BLACK,FEMALE,60.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,60.0,VICTIM,BLACK,MALE,57.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,32.0,VICTIM,BLACK,FEMALE,23.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,41.0,VICTIM,BLACK,MALE,41.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,19.0,VICTIM,BLACK,FEMALE,58.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,41.0,VICTIM,WHITE,MALE,41.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,29.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,UNKNOWN,MALE,18.0,VICTIM,UNKNOWN,FEMALE,18.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,UNKNOWN,MALE,18.0,VICTIM,UNKNOWN,FEMALE,18.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,23.0,VICTIM,WHITE,FEMALE,22.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,53.0,VICTIM,BLACK,FEMALE,24.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,53.0,VICTIM,BLACK,FEMALE,22.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36.0,VICTIM,BLACK,MALE,57.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36.0,VICTIM,BLACK,MALE,57.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,47.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,47.0,VICTIM,BLACK,MALE,46.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,25.0,VICTIM,BLACK,MALE,23.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,26.0,VICTIM,WHITE,MALE,23.0,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,BLACK,FEMALE,33.0,VICTIM,BLACK,MALE,35.0,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,16.0,VICTIM,BLACK,MALE,38.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,55.0,VICTIM,WHITE,MALE,39.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,17.0,VICTIM,BLACK,FEMALE,50.0,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,WHITE,MALE,66.0,VICTIM,BLACK,FEMALE,30.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,48.0,VICTIM,BLACK,MALE,63.0,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,45.0,VICTIM,BLACK,FEMALE,32.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,45.0,VICTIM,BLACK,FEMALE,32.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,45.0,VICTIM,BLACK,FEMALE,32.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,21.0,VICTIM,BLACK,FEMALE,17.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,17.0,VICTIM,BLACK,FEMALE,21.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,57.0,VICTIM,BLACK,FEMALE,64.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,27.0,VICTIM,BLACK,FEMALE,18.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,49.0,VICTIM,BLACK,MALE,45.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,49.0,VICTIM,BLACK,FEMALE,50.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,30.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,30.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,27.0,VICTIM,BLACK,MALE,49.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,34.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,34.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,15.0,VICTIM,WHITE,FEMALE,24.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,54.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,45.0,VICTIM,BLACK,MALE,35.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,48.0,VICTIM,BLACK,FEMALE,41.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,FEMALE,56.0,VICTIM,WHITE,MALE,48.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,70.0,VICTIM,BLACK,MALE,58.0,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,WHITE,MALE,34.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43.0,VICTIM,BLACK,FEMALE,45.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,19.0,VICTIM,BLACK,FEMALE,48.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,38.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,52.0,VICTIM,BLACK,FEMALE,60.0,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,35.0,VICTIM,BLACK,FEMALE,38.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,25.0,VICTIM,BLACK,FEMALE,30.0,Non-fatal,Incident Report,Sexual Crimes
CLOSED,ARRESTED,BLACK,MALE,63.0,VICTIM,BLACK,MALE,69.0,Non-fatal,Incident Report,Theft
